medal,beer_name,brewery,city,state,category,year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Gold,Volksbier Vienna,Wibby Brewing,Longmont,CO,American Amber Lager,2020,40.164837,-105.103179,1,place,,,,,Longmont,CO,Boulder County,80501,US,TIGER/Line® dataset from the US Census Bureau
Silver,Oktoberfest,Founders Brewing Co.,Grand Rapids,MI,American Amber Lager,2020,42.984226,-85.629101,1,place,,,,,Grand Rapids,MI,Kent County,49501,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Amber Lager,Skipping Rock Beer Co.,Staunton,VA,American Amber Lager,2020,38.157368,-79.065116,1,place,,,,,Staunton,VA,Staunton city,24401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Lager at World's End,Epidemic Ales,Concord,CA,American Lager,2020,37.953672,-122.022872,1,place,,,,,Concord,CA,Contra Costa County,94518,US,TIGER/Line® dataset from the US Census Bureau
Silver,Seismic Tremor,Seismic Brewing Co.,Santa Rosa,CA,American Lager,2020,38.450412,-122.783159,1,place,,,,,Santa Rosa,CA,Sonoma County,95401,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Lite Thinking,Pollyanna Brewing Co.,Lemont,IL,American Lager,2020,41.707431,-87.975568,1,place,,,,,Lemont,IL,DuPage County,60439,US,TIGER/Line® dataset from the US Census Bureau
Gold,Beachscape,Ventura Coast Brewing Co.,Ventura,CA,American Pilsener,2020,34.330829,-119.358352,1,place,,,,,Ventura,CA,Ventura County,93001,US,TIGER/Line® dataset from the US Census Bureau
Silver,Imagine a World with Beer Cellars Instead of 401ks,Freetail Brewing Co.,San Antonio,TX,American Pilsener,2020,29.468413,-98.528889,1,place,,,,,San Antonio,TX,Bexar County,78201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Pilsner,Old Town Brewing,Portland,OR,American Pilsener,2020,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Tank 7,Boulevard Brewing Co.,Kansas City,MO,American-Belgo-Style Ale,2020,39.102404,-94.598583,1,place,,,,,Kansas City,MO,Jackson County,64101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Dear You,Ratio Beerworks,Denver,CO,American-Belgo-Style Ale,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Gold,Avalon Amber Ale,Bowigens Beer Co.,Casselberry,FL,American-Style Amber/Red Ale,2020,28.661468,-81.313989,1,place,,,,,Casselberry,FL,Seminole County,32707,US,TIGER/Line® dataset from the US Census Bureau
Silver,Justin's Easy Going Amber,Zuni Street Brewing Co.,Denver,CO,American-Style Amber/Red Ale,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Paulie's Not Irish,Old Town Brewing,Portland,OR,American-Style Amber/Red Ale,2020,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Gold,Wookey Jack,Firestone Walker Brewing Co. - The Propagator,Marina del Rey,CA,American-Style Black Ale or American-Style Stout,2020,33.979007,-118.457852,1,place,,,,,Marina Del Rey,CA,Los Angeles County,90292,US,TIGER/Line® dataset from the US Census Bureau
Gold,Brown Ale,Second Street Brewery,Santa Fe,NM,American-Style Brown Ale,2020,35.697473,-105.982146,1,place,,,,,Santa Fe,NM,Santa Fe County,87501,US,TIGER/Line® dataset from the US Census Bureau
Silver,Wallops Island,Rocket Frog Brewing Co.,Sterling,VA,American-Style Brown Ale,2020,39.085309,-77.645224,1,place,,,,,Sterling,VA,Loudoun County,20163,US,TIGER/Line® dataset from the US Census Bureau
Bronze,All-American Brown,Auburn Alehouse,Auburn,CA,American-Style Brown Ale,2020,39.014933,-121.07047,1,place,,,,,Auburn,CA,Placer County,95602,US,TIGER/Line® dataset from the US Census Bureau
Gold,Moonlite,Moontown Brewing Co.,Whitestown,IN,American-Style Cream Ale,2020,40.022608,-86.346179,1,place,,,,,Whitestown,IN,Boone County,46075,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Let's Talk About Mex,Cannonball Creek Brewing Co.,Golden,CO,American-Style Cream Ale,2020,39.718539,-105.245659,1,place,,,,,Golden,CO,Jefferson County,80401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Strawberry Zwickelbier,Twin Sisters Brewing Co.,Bellingham,WA,American-Style Fruit Beer,2020,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Silver,Everything But The Seeds,1623 Brewing Co.,Eldersburg,MD,American-Style Fruit Beer,2020,39.403715,-76.950257,0.9,place,,,,,Eldersburg,MD,Carroll County,21784,US,TIGER/Line® dataset from the US Census Bureau
Bronze,"Berry, Berry, Quite Contrary",Territorial Brewing Co.,Springfield,MI,American-Style Fruit Beer,2020,42.270781,-85.22874,0.8,place,,,,,Springfield,MI,Calhoun County,49015,US,TIGER/Line® dataset from the US Census Bureau
Gold,IPA,Perry Street Brewing,Spokane,WA,American-Style India Pale Ale,2020,47.66264,-117.435997,1,place,,,,,Spokane,WA,Spokane County,99201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Updrift India Pale Ale,Pelican Brewing Co. - Tillamook,Tillamook,OR,American-Style India Pale Ale,2020,45.461952,-123.740874,1,place,,,,,Tillamook,OR,Tillamook County,97141,US,TIGER/Line® dataset from the US Census Bureau
Gold,Featherweight Pale Ale,Cannonball Creek Brewing Co.,Golden,CO,American-Style Pale Ale,2020,39.718539,-105.245659,1,place,,,,,Golden,CO,Jefferson County,80401,US,TIGER/Line® dataset from the US Census Bureau
Silver,Somewhere Golden,Institution Ale Co.,Camarillo,CA,American-Style Pale Ale,2020,34.227855,-119.079869,1,place,,,,,Camarillo,CA,Ventura County,93010,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Pantsless,Alarmist Brewing,Chicago,IL,American-Style Pale Ale,2020,41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Gold,Vice Sans Fruit,Wild Barrel Brewing Co.,San Marcos,CA,American-Style Sour Ale,2020,33.170778,-117.158674,1,place,,,,,San Marcos,CA,San Diego County,92069,US,TIGER/Line® dataset from the US Census Bureau
Silver,Mirage,New Terrain Brewing Co.,Golden,CO,American-Style Sour Ale,2020,39.718539,-105.245659,1,place,,,,,Golden,CO,Jefferson County,80401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Built For Speed,Grains of Wrath Brewing,Camas,WA,American-Style Strong Pale Ale,2020,45.656489,-122.399341,1,place,,,,,Camas,WA,Clark County,98607,US,TIGER/Line® dataset from the US Census Bureau
Silver,Superpower IPA,Comrade Brewing Co.,Denver,CO,American-Style Strong Pale Ale,2020,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Mai Tai P.A.,Alvarado Street Brewery & Tasting Room,Salinas,CA,American-Style Strong Pale Ale,2020,36.64152,-121.622188,1,place,,,,,Salinas,CA,Monterey County,93901,US,TIGER/Line® dataset from the US Census Bureau
Gold,Whoopty Whoop Wheat,Wild Ride Brewing,Redmond,OR,American-Style Wheat Beer,2020,44.268862,-121.266414,1,place,,,,,Redmond,OR,Deschutes County,97756,US,TIGER/Line® dataset from the US Census Bureau
Bronze,10 Barrel TWheat,10 Barrel Brewing Co. - Bend Pub,Bend,OR,American-Style Wheat Beer,2020,44.082037,-121.227125,1,place,,,,,Bend,OR,Deschutes County,97701,US,TIGER/Line® dataset from the US Census Bureau
Gold,Dubbel or Nothing,Monkless Belgian Ales,Bend,OR,Belgian-Style Abbey Ale,2020,44.082037,-121.227125,1,place,,,,,Bend,OR,Deschutes County,97701,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Lux Mundi,Save The World Brewing Co.,Marble Falls,TX,Belgian-Style Abbey Ale,2020,30.581216,-98.208732,1,place,,,,,Marble Falls,TX,Burnet County,78654,US,TIGER/Line® dataset from the US Census Bureau
Silver,Crazy Train,Fretboard Brewing Co.,Blue Ash,OH,Belgian-Style Ale or French-Style Ale,2020,39.231944,-84.378333,0,,,,,,,,,,,
Gold,Funk Yeah,Beachwood Blendery,Long Beach,CA,Belgian-Style Lambic or Sour Ale,2020,33.804309,-118.200957,1,place,,,,,Long Beach,CA,Los Angeles County,90801,US,TIGER/Line® dataset from the US Census Bureau
Silver,Peche,Block 15 Brewing Co.,Corvallis,OR,Belgian-Style Lambic or Sour Ale,2020,44.639931,-123.275969,1,place,,,,,Corvallis,OR,Benton County,97330,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Cerise Morte,Wicked Weed - Funk House,Arden,NC,Belgian-Style Lambic or Sour Ale,2020,35.46623,-82.51651,1,place,,,,,Arden,NC,Buncombe County,28704,US,TIGER/Line® dataset from the US Census Bureau
Gold,Tangible Passion,Riip Beer Co.,Huntington Beach,CA,Belgian-Style Specialty Ale,2020,33.640302,-117.769442,1,place,,,,,Huntington Beach,CA,Orange County,92605,US,TIGER/Line® dataset from the US Census Bureau
Silver,Goin' Stag,Cabin Boys Brewery,Tulsa,OK,Belgian-Style Specialty Ale,2020,36.039147,-95.868667,1,place,,,,,Tulsa,OK,Tulsa County,74101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Orange Diva,StillFire Brewing,Suwanee,GA,Belgian-Style Specialty Ale,2020,34.042479,-84.026171,1,place,,,,,Suwanee,GA,Gwinnett County,30024,US,TIGER/Line® dataset from the US Census Bureau
Gold,Cosmic Sloth,Pinthouse Pizza - South Lamar,Austin,TX,Belgian-Style Strong Specialty Ale,2020,30.326374,-97.771258,1,place,,,,,Austin,TX,Travis County,73301,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Hell Camino Belgian Quad,Dos Desperados Brewery,San Diego,CA,Belgian-Style Strong Specialty Ale,2020,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Gold,White,Allagash Brewing Co.,Portland,ME,Belgian-Style Witbier,2020,43.658784,-70.262393,1,place,,,,,Portland,ME,Cumberland County,4101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Boeman Belgian White,Ogopogo Brewing,San Gabriel,CA,Belgian-Style Witbier,2020,34.114772,-118.089431,1,place,,,,,San Gabriel,CA,Los Angeles County,91775,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Wolk,Lock 27 Brewing,Centerville,OH,Belgian-Style Witbier,2020,39.080898,-83.952431,0.8,place,,,,,Centerville,OH,Brown County,45154,US,TIGER/Line® dataset from the US Census Bureau
Gold,Chuckanut Maibock,Chuckanut Brewery - North Nut,Bellingham,WA,Bock,2020,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Silver,Maibock,NoDa Brewing Co. - NE,Charlotte,NC,Bock,2020,35.26002,-80.804151,1,place,,,,,Charlotte,NC,Mecklenburg County,28201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Skool House Bock,Moontown Brewing Co.,Whitestown,IN,Bock,2020,40.022608,-86.346179,1,place,,,,,Whitestown,IN,Boone County,46075,US,TIGER/Line® dataset from the US Census Bureau
Gold,Perle Haggard,Ex Novo Brewing Co.,Portland,OR,Bohemian-Style Pilsener,2020,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Fortune &amp; Glory,Precarious Beer Project - Precarious Beer Hall,Williamsburg,VA,Bohemian-Style Pilsener,2020,37.310451,-76.746769,1,place,,,,,Williamsburg,VA,Williamsburg city,23186,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Tres Tres,Ocean Beach Brewery,San Diego,CA,Bohemian-Style Pilsener,2020,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
